CITY,COUNTRY,DATE,HIGH-TEMP,LOW-TEMP,LATITUDE,DISTANCE
Dublin,Ireland,21 Mar 2018,11,2,53.3498,5953.607129999999
Dublin,Ireland,22 Mar 2018,10,4,53.3498,5953.607129999999
Dublin,Ireland,23 Mar 2018,8,3,53.3498,5953.607129999999
Dublin,Ireland,24 Mar 2018,9,1,53.3498,5953.607129999999
Dublin,Ireland,25 Mar 2018,8,1,53.3498,5953.607129999999
Dublin,Ireland,26 Mar 2018,8,3,53.3498,5953.607129999999
Dublin,Ireland,27 Mar 2018,8,4,53.3498,5953.607129999999
Dublin,Ireland,28 Mar 2018,7,2,53.3498,5953.607129999999
Dublin,Ireland,29 Mar 2018,6,2,53.3498,5953.607129999999
Dublin,Ireland,30 Mar 2018,6,1,53.3498,5953.607129999999
Paris,France,21 Mar 2018,7,1,48.8566,5491.911747
Paris,France,22 Mar 2018,8,1,48.8566,5491.911747
Paris,France,23 Mar 2018,7,3,48.8566,5491.911747
Paris,France,24 Mar 2018,11,5,48.8566,5491.911747
Paris,France,25 Mar 2018,10,5,48.8566,5491.911747
Paris,France,26 Mar 2018,10,2,48.8566,5491.911747
Paris,France,27 Mar 2018,10,5,48.8566,5491.911747
Paris,France,28 Mar 2018,11,7,48.8566,5491.911747
Paris,France,29 Mar 2018,9,4,48.8566,5491.911747
Paris,France,30 Mar 2018,10,4,48.8566,5491.911747
Moscow,Russia,21 Mar 2018,1,-5,55.7558,6251.015267
Moscow,Russia,22 Mar 2018,0,-5,55.7558,6251.015267
Moscow,Russia,23 Mar 2018,2,-5,55.7558,6251.015267
Moscow,Russia,24 Mar 2018,0,-8,55.7558,6251.015267
Moscow,Russia,25 Mar 2018,3,-8,55.7558,6251.015267
Moscow,Russia,26 Mar 2018,3,-1,55.7558,6251.015267
Moscow,Russia,27 Mar 2018,2,-2,55.7558,6251.015267
Moscow,Russia,28 Mar 2018,1,-3,55.7558,6251.015267
Moscow,Russia,29 Mar 2018,1,-4,55.7558,6251.015267
Moscow,Russia,30 Mar 2018,0,-7,55.7558,6251.015267
Dubai,United Arab Emirates,21 Mar 2018,23,18,25.2048,2815.671843
Dubai,United Arab Emirates,22 Mar 2018,23,18,25.2048,2815.671843
Dubai,United Arab Emirates,23 Mar 2018,24,17,25.2048,2815.671843
Dubai,United Arab Emirates,24 Mar 2018,30,21,25.2048,2815.671843
Dubai,United Arab Emirates,25 Mar 2018,28,22,25.2048,2815.671843
Dubai,United Arab Emirates,26 Mar 2018,26,20,25.2048,2815.671843
Dubai,United Arab Emirates,27 Mar 2018,26,22,25.2048,2815.671843
Dubai,United Arab Emirates,28 Mar 2018,25,20,25.2048,2815.671843
Dubai,United Arab Emirates,29 Mar 2018,25,20,25.2048,2815.671843
Dubai,United Arab Emirates,30 Mar 2018,26,20,25.2048,2815.671843
Sydney,Australia,22 Mar 2018,21,17,-33.8688,3827.51728
Sydney,Australia,23 Mar 2018,22,17,-33.8688,3827.51728
Sydney,Australia,24 Mar 2018,27,16,-33.8688,3827.51728
Sydney,Australia,25 Mar 2018,32,18,-33.8688,3827.51728
Sydney,Australia,26 Mar 2018,26,15,-33.8688,3827.51728
Sydney,Australia,27 Mar 2018,23,12,-33.8688,3827.51728
Sydney,Australia,28 Mar 2018,25,12,-33.8688,3827.51728
Sydney,Australia,29 Mar 2018,25,16,-33.8688,3827.51728
Sydney,Australia,30 Mar 2018,30,17,-33.8688,3827.51728
Sydney,Australia,31 Mar 2018,19,17,-33.8688,3827.51728
Mumbai,India,21 Mar 2018,31,22,19.076,2112.501097
Mumbai,India,22 Mar 2018,30,20,19.076,2112.501097
Mumbai,India,23 Mar 2018,30,20,19.076,2112.501097
Mumbai,India,24 Mar 2018,33,21,19.076,2112.501097
Mumbai,India,25 Mar 2018,38,22,19.076,2112.501097
Mumbai,India,26 Mar 2018,39,24,19.076,2112.501097
Mumbai,India,27 Mar 2018,32,22,19.076,2112.501097
Mumbai,India,28 Mar 2018,32,24,19.076,2112.501097
Mumbai,India,29 Mar 2018,30,23,19.076,2112.501097
Mumbai,India,30 Mar 2018,30,23,19.076,2112.501097
Accra,Ghana,21 Mar 2018,31,24,5.6037,667.348882
Accra,Ghana,22 Mar 2018,31,24,5.6037,667.348882
Accra,Ghana,23 Mar 2018,29,24,5.6037,667.348882
Accra,Ghana,24 Mar 2018,28,23,5.6037,667.348882
Accra,Ghana,25 Mar 2018,27,23,5.6037,667.348882
Accra,Ghana,26 Mar 2018,30,23,5.6037,667.348882
Accra,Ghana,27 Mar 2018,29,25,5.6037,667.348882
Accra,Ghana,28 Mar 2018,29,24,5.6037,667.348882
Accra,Ghana,29 Mar 2018,29,24,5.6037,667.348882
Accra,Ghana,30 Mar 2018,29,24,5.6037,667.348882
Berlin,Germany,21 Mar 2018,7,-7,52.52,5778.686656999999
Berlin,Germany,22 Mar 2018,5,0,52.52,5778.686656999999
Berlin,Germany,23 Mar 2018,5,2,52.52,5778.686656999999
Berlin,Germany,24 Mar 2018,7,0,52.52,5778.686656999999
Berlin,Germany,25 Mar 2018,8,0,52.52,5778.686656999999
Berlin,Germany,26 Mar 2018,8,2,52.52,5778.686656999999
Berlin,Germany,27 Mar 2018,7,1,52.52,5778.686656999999
Berlin,Germany,28 Mar 2018,6,2,52.52,5778.686656999999
Berlin,Germany,29 Mar 2018,6,1,52.52,5778.686656999999
Berlin,Germany,30 Mar 2018,6,0,52.52,5778.686656999999
Stockholm,Sweden,21 Mar 2018,6,-8,59.3293,6616.467168
Stockholm,Sweden,22 Mar 2018,4,-1,59.3293,6616.467168
Stockholm,Sweden,23 Mar 2018,3,-4,59.3293,6616.467168
Stockholm,Sweden,24 Mar 2018,4,-1,59.3293,6616.467168
Stockholm,Sweden,25 Mar 2018,4,0,59.3293,6616.467168
Stockholm,Sweden,26 Mar 2018,2,-1,59.3293,6616.467168
Stockholm,Sweden,27 Mar 2018,0,-3,59.3293,6616.467168
Stockholm,Sweden,28 Mar 2018,-1,-4,59.3293,6616.467168
Stockholm,Sweden,29 Mar 2018,-1,-5,59.3293,6616.467168
Stockholm,Sweden,30 Mar 2018,0,-5,59.3293,6616.467168
Tokyo,Japan,22 Mar 2018,16,4,35.6895,4016.537612
Tokyo,Japan,23 Mar 2018,13,8,35.6895,4016.537612
Tokyo,Japan,24 Mar 2018,13,6,35.6895,4016.537612
Tokyo,Japan,25 Mar 2018,16,5,35.6895,4016.537612
Tokyo,Japan,26 Mar 2018,17,6,35.6895,4016.537612
Tokyo,Japan,27 Mar 2018,18,9,35.6895,4016.537612
Tokyo,Japan,28 Mar 2018,18,9,35.6895,4016.537612
Tokyo,Japan,29 Mar 2018,19,9,35.6895,4016.537612
Tokyo,Japan,30 Mar 2018,18,13,35.6895,4016.537612
Tokyo,Japan,31 Mar 2018,15,12,35.6895,4016.537612
New York,United States,21 Mar 2018,3,0,40.7128,4576.39868
New York,United States,22 Mar 2018,5,1,40.7128,4576.39868
New York,United States,23 Mar 2018,5,0,40.7128,4576.39868
New York,United States,24 Mar 2018,7,0,40.7128,4576.39868
New York,United States,25 Mar 2018,5,0,40.7128,4576.39868
New York,United States,26 Mar 2018,6,-1,40.7128,4576.39868
New York,United States,27 Mar 2018,8,0,40.7128,4576.39868
New York,United States,28 Mar 2018,9,1,40.7128,4576.39868
New York,United States,29 Mar 2018,10,3,40.7128,4576.39868
New York,United States,30 Mar 2018,11,5,40.7128,4576.39868
San Diego,United States,21 Mar 2018,25,11,32.7157,3688.0520079999997
San Diego,United States,22 Mar 2018,20,15,32.7157,3688.0520079999997
San Diego,United States,23 Mar 2018,18,13,32.7157,3688.0520079999997
San Diego,United States,24 Mar 2018,16,11,32.7157,3688.0520079999997
San Diego,United States,25 Mar 2018,16,11,32.7157,3688.0520079999997
San Diego,United States,26 Mar 2018,17,9,32.7157,3688.0520079999997
San Diego,United States,27 Mar 2018,20,9,32.7157,3688.0520079999997
San Diego,United States,28 Mar 2018,22,10,32.7157,3688.0520079999997
San Diego,United States,29 Mar 2018,22,11,32.7157,3688.0520079999997
San Diego,United States,30 Mar 2018,21,11,32.7157,3688.0520079999997
Honolulu,United States,21 Mar 2018,22,18,21.3069,2390.142765
Honolulu,United States,22 Mar 2018,22,17,21.3069,2390.142765
Honolulu,United States,23 Mar 2018,21,18,21.3069,2390.142765
Honolulu,United States,24 Mar 2018,19,17,21.3069,2390.142765
Honolulu,United States,25 Mar 2018,23,17,21.3069,2390.142765
Honolulu,United States,26 Mar 2018,25,17,21.3069,2390.142765
Honolulu,United States,27 Mar 2018,25,16,21.3069,2390.142765
Honolulu,United States,28 Mar 2018,26,15,21.3069,2390.142765
Honolulu,United States,29 Mar 2018,27,17,21.3069,2390.142765
Honolulu,United States,30 Mar 2018,25,21,21.3069,2390.142765
Singapore,Singapore,22 Mar 2018,29,25,1.3521,176.309348
Singapore,Singapore,23 Mar 2018,28,25,1.3521,176.309348
Singapore,Singapore,24 Mar 2018,28,25,1.3521,176.309348
Singapore,Singapore,25 Mar 2018,28,25,1.3521,176.309348
Singapore,Singapore,26 Mar 2018,28,25,1.3521,176.309348
Singapore,Singapore,27 Mar 2018,28,25,1.3521,176.309348
Singapore,Singapore,28 Mar 2018,27,25,1.3521,176.309348
